country,avg_vintage_rating
Afrique du Sud,3.6562499999999996
Allemagne,1.6958333333333335
Argentine,4.321428571428572
Australie,2.8312500000000003
Chili,4.120000000000001
Croatie,4.4
Espagne,3.3809160305343484
France,3.0650485436893224
Grèce,2.3
Hongrie,3.171428571428571
Israël,0.0
Italie,3.630266075388031
Moldavie,3.8714285714285714
Portugal,3.932258064516129
Roumanie,4.5
Suisse,2.2
États-Unis,3.698214285714285
