country,avg_wine_rating
Afrique du Sud,4.459090909090909
Allemagne,4.500000000000001
Argentine,4.417391304347826
Australie,4.458333333333333
Chili,4.43125
Croatie,4.3
Espagne,4.4436170212765935
France,4.447129909365562
Grèce,4.4
Hongrie,4.472727272727273
Israël,4.5
Italie,4.430026109660581
Moldavie,4.4799999999999995
Portugal,4.435714285714287
Roumanie,4.4
Suisse,4.35
États-Unis,4.4905405405405405
